 [ocr_generation.py:50:convert_jpg_to_text()]- 2021-05-03 15:31:25,882 - INFO - Time taken to convert 1 jpg files to text files: 0.05207030375798543 minutes
 [_code_cache.py:92:_create_comtypes_gen_package()]- 2021-05-03 15:31:25,904 - INFO - Imported existing <module 'comtypes.gen' from 'C:\\Users\\metes\\anaconda3\\envs\\audio_books\\lib\\site-packages\\comtypes\\gen\\__init__.py'>
 [_code_cache.py:73:_find_gen_dir()]- 2021-05-03 15:31:25,904 - INFO - Using writeable comtypes cache directory: 'C:\Users\metes\anaconda3\envs\audio_books\lib\site-packages\comtypes\gen'
 [text_speech.py:21:convert_text_to_speech()]- 2021-05-03 15:31:26,013 - INFO - ['d:\\Data_Science\\my_projects\\audio_books\\bulk_load/OCR\\Broacha.txt']
 [text_speech.py:27:convert_text_to_speech()]- 2021-05-03 15:31:26,013 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/OCR\Broacha.txt
 [text_speech.py:32:convert_text_to_speech()]- 2021-05-03 15:31:26,013 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/output/Broacha.mp3
 [text_speech.py:41:convert_text_to_speech()]- 2021-05-03 15:31:26,569 - INFO - Time taken to convert 1 text files to mp3 files: 0.011437729994455973 minutes
 [image_conversion.py:33:convert_to_jpg()]- 2021-05-03 15:31:26,575 - INFO - Image Info:
 [image_conversion.py:34:convert_to_jpg()]- 2021-05-03 15:31:26,575 - INFO - JPEG
 [image_conversion.py:35:convert_to_jpg()]- 2021-05-03 15:31:26,576 - INFO - (581, 1032)
 [image_conversion.py:36:convert_to_jpg()]- 2021-05-03 15:31:26,576 - INFO - RGB
 [image_conversion.py:40:convert_to_jpg()]- 2021-05-03 15:31:26,588 - INFO - Successfully converted image to JPG d:\Data_Science\my_projects\audio_books\bulk_load/processed_images/IMG-20200921-WA0001.jpg
 [image_conversion.py:71:convert_all_files()]- 2021-05-03 15:31:26,589 - INFO - Time taken to convert 1  files to jpg files: 0.00023268461227416993 minutes
 [image_cleaning.py:162:image_cleaning()]- 2021-05-03 15:31:26,589 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\IMG-20200921-WA0001.jpg
 [ocr_generation.py:50:convert_jpg_to_text()]- 2021-05-03 15:31:27,310 - INFO - Time taken to convert 1 jpg files to text files: 0.011468958854675294 minutes
 [text_speech.py:21:convert_text_to_speech()]- 2021-05-03 15:31:27,353 - INFO - ['d:\\Data_Science\\my_projects\\audio_books\\bulk_load/OCR\\IMG-20200921-WA0001.txt']
 [text_speech.py:27:convert_text_to_speech()]- 2021-05-03 15:31:27,354 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/OCR\IMG-20200921-WA0001.txt
 [text_speech.py:32:convert_text_to_speech()]- 2021-05-03 15:31:27,354 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/output/IMG-20200921-WA0001.mp3
 [text_speech.py:41:convert_text_to_speech()]- 2021-05-03 15:31:27,629 - INFO - Time taken to convert 1 text files to mp3 files: 0.005298801263173421 minutes
 [text_speech.py:51:convert_pdf_to_speech()]- 2021-05-03 15:31:27,684 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/input_files\No Statement.pdf
 [text_speech.py:74:convert_pdf_to_speech()]- 2021-05-03 15:31:27,685 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/output/No Statement.mp3
 [image_conversion.py:71:convert_all_files()]- 2021-05-03 15:31:28,400 - INFO - Time taken to convert 1  files to jpg files: 0.011835006872812907 minutes
 [image_cleaning.py:162:image_cleaning()]- 2021-05-03 15:31:28,400 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\No Statement_page_0.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-03 15:31:28,592 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\No Statement_page_1.jpg
 [ocr_generation.py:50:convert_jpg_to_text()]- 2021-05-03 15:31:32,525 - INFO - Time taken to convert 1 jpg files to text files: 0.062337708473205564 minutes
 [text_speech.py:21:convert_text_to_speech()]- 2021-05-03 15:31:32,564 - INFO - ['d:\\Data_Science\\my_projects\\audio_books\\bulk_load/OCR\\No Statement.txt']
 [text_speech.py:27:convert_text_to_speech()]- 2021-05-03 15:31:32,564 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/OCR\No Statement.txt
 [text_speech.py:32:convert_text_to_speech()]- 2021-05-03 15:31:32,564 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/output/No Statement.mp3
 [text_speech.py:41:convert_text_to_speech()]- 2021-05-03 15:31:33,479 - INFO - Time taken to convert 1 text files to mp3 files: 0.015888126691182454 minutes
 [text_speech.py:51:convert_pdf_to_speech()]- 2021-05-03 15:31:33,527 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/input_files\PyTorch Cheat Sheet.pdf
 [text_speech.py:74:convert_pdf_to_speech()]- 2021-05-03 15:31:33,633 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/output/PyTorch Cheat Sheet.mp3
 [text_speech.py:84:convert_pdf_to_speech()]- 2021-05-03 15:31:37,813 - INFO - Time taken to convert 1 pdf files to mp3 files: 0.07208861509958903 minutes
 [main.py:118:convert_books()]- 2021-05-03 15:31:37,819 - INFO - Total time taken for generating final output: 0.2524497628211975 minutes
 [image_conversion.py:33:convert_to_jpg()]- 2021-05-04 13:34:28,280 - INFO - Image Info:
 [image_conversion.py:34:convert_to_jpg()]- 2021-05-04 13:34:28,280 - INFO - JPEG
 [image_conversion.py:35:convert_to_jpg()]- 2021-05-04 13:34:28,280 - INFO - (974, 865)
 [image_conversion.py:36:convert_to_jpg()]- 2021-05-04 13:34:28,280 - INFO - RGB
 [image_conversion.py:40:convert_to_jpg()]- 2021-05-04 13:34:28,298 - INFO - Successfully converted image to JPG d:\Data_Science\my_projects\audio_books\bulk_load/processed_images/Broacha.jpg
 [image_conversion.py:71:convert_all_files()]- 2021-05-04 13:34:28,298 - INFO - Time taken to convert 1  files to jpg files: 0.0006352861722310384 minutes
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:34:28,299 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\Broacha.jpg
 [ocr_generation.py:50:convert_jpg_to_text()]- 2021-05-04 13:34:30,610 - INFO - Time taken to convert 1 jpg files to text files: 0.037710273265838624 minutes
 [_code_cache.py:92:_create_comtypes_gen_package()]- 2021-05-04 13:34:30,632 - INFO - Imported existing <module 'comtypes.gen' from 'C:\\Users\\metes\\anaconda3\\envs\\audio_books\\lib\\site-packages\\comtypes\\gen\\__init__.py'>
 [_code_cache.py:73:_find_gen_dir()]- 2021-05-04 13:34:30,640 - INFO - Using writeable comtypes cache directory: 'C:\Users\metes\anaconda3\envs\audio_books\lib\site-packages\comtypes\gen'
 [text_speech.py:21:convert_text_to_speech()]- 2021-05-04 13:34:30,780 - INFO - ['d:\\Data_Science\\my_projects\\audio_books\\bulk_load/OCR\\Broacha.txt']
 [text_speech.py:27:convert_text_to_speech()]- 2021-05-04 13:34:30,780 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/OCR\Broacha.txt
 [text_speech.py:32:convert_text_to_speech()]- 2021-05-04 13:34:30,780 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/output/Broacha.mp3
 [text_speech.py:41:convert_text_to_speech()]- 2021-05-04 13:34:31,408 - INFO - Time taken to convert 1 text files to mp3 files: 0.013304789861043295 minutes
 [image_conversion.py:33:convert_to_jpg()]- 2021-05-04 13:34:31,430 - INFO - Image Info:
 [image_conversion.py:34:convert_to_jpg()]- 2021-05-04 13:34:31,431 - INFO - JPEG
 [image_conversion.py:35:convert_to_jpg()]- 2021-05-04 13:34:31,431 - INFO - (581, 1032)
 [image_conversion.py:36:convert_to_jpg()]- 2021-05-04 13:34:31,431 - INFO - RGB
 [image_conversion.py:40:convert_to_jpg()]- 2021-05-04 13:34:31,447 - INFO - Successfully converted image to JPG d:\Data_Science\my_projects\audio_books\bulk_load/processed_images/IMG-20200921-WA0001.jpg
 [image_conversion.py:71:convert_all_files()]- 2021-05-04 13:34:31,447 - INFO - Time taken to convert 1  files to jpg files: 0.00043702125549316406 minutes
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:34:31,447 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\IMG-20200921-WA0001.jpg
 [ocr_generation.py:50:convert_jpg_to_text()]- 2021-05-04 13:34:32,187 - INFO - Time taken to convert 1 jpg files to text files: 0.01196892261505127 minutes
 [text_speech.py:21:convert_text_to_speech()]- 2021-05-04 13:34:32,242 - INFO - ['d:\\Data_Science\\my_projects\\audio_books\\bulk_load/OCR\\IMG-20200921-WA0001.txt']
 [text_speech.py:27:convert_text_to_speech()]- 2021-05-04 13:34:32,242 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/OCR\IMG-20200921-WA0001.txt
 [text_speech.py:32:convert_text_to_speech()]- 2021-05-04 13:34:32,242 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/output/IMG-20200921-WA0001.mp3
 [text_speech.py:41:convert_text_to_speech()]- 2021-05-04 13:34:32,574 - INFO - Time taken to convert 1 text files to mp3 files: 0.006447752316792806 minutes
 [text_speech.py:51:convert_pdf_to_speech()]- 2021-05-04 13:34:32,630 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/input_files\No Statement.pdf
 [text_speech.py:74:convert_pdf_to_speech()]- 2021-05-04 13:34:32,639 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/output/No Statement.mp3
 [image_conversion.py:71:convert_all_files()]- 2021-05-04 13:34:33,481 - INFO - Time taken to convert 1  files to jpg files: 0.013930614789326985 minutes
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:34:33,481 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\No Statement_page_0.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:34:33,663 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\No Statement_page_1.jpg
 [ocr_generation.py:50:convert_jpg_to_text()]- 2021-05-04 13:34:37,600 - INFO - Time taken to convert 1 jpg files to text files: 0.0622714638710022 minutes
 [text_speech.py:21:convert_text_to_speech()]- 2021-05-04 13:34:37,640 - INFO - ['d:\\Data_Science\\my_projects\\audio_books\\bulk_load/OCR\\No Statement.txt']
 [text_speech.py:27:convert_text_to_speech()]- 2021-05-04 13:34:37,640 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/OCR\No Statement.txt
 [text_speech.py:32:convert_text_to_speech()]- 2021-05-04 13:34:37,640 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/output/No Statement.mp3
 [text_speech.py:41:convert_text_to_speech()]- 2021-05-04 13:34:38,589 - INFO - Time taken to convert 1 text files to mp3 files: 0.016484502951304117 minutes
 [text_speech.py:51:convert_pdf_to_speech()]- 2021-05-04 13:34:38,634 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/input_files\PyTorch Cheat Sheet.pdf
 [text_speech.py:74:convert_pdf_to_speech()]- 2021-05-04 13:34:38,754 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/output/PyTorch Cheat Sheet.mp3
 [text_speech.py:84:convert_pdf_to_speech()]- 2021-05-04 13:34:42,718 - INFO - Time taken to convert 1 pdf files to mp3 files: 0.06878779331843059 minutes
 [main.py:108:convert_books()]- 2021-05-04 13:34:42,723 - INFO - Total time taken for generating final output for4files: 0.24105379978815714 minutes
 [image_conversion.py:33:convert_to_jpg()]- 2021-05-04 13:38:17,386 - INFO - Image Info:
 [image_conversion.py:34:convert_to_jpg()]- 2021-05-04 13:38:17,386 - INFO - JPEG
 [image_conversion.py:35:convert_to_jpg()]- 2021-05-04 13:38:17,386 - INFO - (974, 865)
 [image_conversion.py:36:convert_to_jpg()]- 2021-05-04 13:38:17,386 - INFO - RGB
 [image_conversion.py:40:convert_to_jpg()]- 2021-05-04 13:38:17,403 - INFO - Successfully converted image to JPG d:\Data_Science\my_projects\audio_books\bulk_load/processed_images/Broacha.jpg
 [image_conversion.py:71:convert_all_files()]- 2021-05-04 13:38:17,403 - INFO - Time taken to convert 1  files to jpg files: 0.0004327694574991862 minutes
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:38:17,403 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\Broacha.jpg
 [ocr_generation.py:50:convert_jpg_to_text()]- 2021-05-04 13:38:18,873 - INFO - Time taken to convert 1 jpg files to text files: 0.02363135019938151 minutes
 [_code_cache.py:92:_create_comtypes_gen_package()]- 2021-05-04 13:38:18,891 - INFO - Imported existing <module 'comtypes.gen' from 'C:\\Users\\metes\\anaconda3\\envs\\audio_books\\lib\\site-packages\\comtypes\\gen\\__init__.py'>
 [_code_cache.py:73:_find_gen_dir()]- 2021-05-04 13:38:18,891 - INFO - Using writeable comtypes cache directory: 'C:\Users\metes\anaconda3\envs\audio_books\lib\site-packages\comtypes\gen'
 [text_speech.py:21:convert_text_to_speech()]- 2021-05-04 13:38:19,021 - INFO - ['d:\\Data_Science\\my_projects\\audio_books\\bulk_load/OCR\\Broacha.txt']
 [text_speech.py:27:convert_text_to_speech()]- 2021-05-04 13:38:19,021 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/OCR\Broacha.txt
 [text_speech.py:32:convert_text_to_speech()]- 2021-05-04 13:38:19,021 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/output/Broacha.mp3
 [text_speech.py:41:convert_text_to_speech()]- 2021-05-04 13:38:19,591 - INFO - Time taken to convert 1 text files to mp3 files: 0.011966025829315186 minutes
 [main.py:103:convert_books()]- 2021-05-04 13:38:19,591 - INFO - Total time taken for generating final output for d:\Data_Science\my_projects\audio_books\bulk_load/input_files\Broacha.JPG : 0.036894476413726805 minutes
 [text_speech.py:51:convert_pdf_to_speech()]- 2021-05-04 13:38:19,631 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/input_files\HarryPotter.pdf
 [text_speech.py:74:convert_pdf_to_speech()]- 2021-05-04 13:41:50,570 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/output/HarryPotter.mp3
 [image_conversion.py:69:convert_all_files()]- 2021-05-04 13:48:04,586 - INFO - Failed in convert_to_jpg at:
 [image_conversion.py:71:convert_all_files()]- 2021-05-04 13:48:06,932 - INFO - Time taken to convert 1  files to jpg files: 6.272670904795329 minutes
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:06,952 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_0.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:07,203 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:07,424 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_10.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:07,646 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_100.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:07,868 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1000.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:08,090 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1001.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:08,312 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1002.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:08,544 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1003.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:08,784 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1004.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:08,997 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1005.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:09,221 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1006.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:09,453 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1007.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:09,682 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1008.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:09,896 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1009.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:10,126 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_101.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:10,350 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1010.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:10,563 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1011.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:10,785 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1012.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:11,018 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1013.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:11,238 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1014.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:11,480 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1015.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:11,704 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1016.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:11,927 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1017.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:12,158 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1018.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:12,383 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1019.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:12,606 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_102.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:12,819 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1020.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:13,032 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1021.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:13,264 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1022.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:13,478 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1023.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:13,718 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1024.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:13,939 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1025.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:14,163 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1026.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:14,386 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1027.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:14,607 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1028.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:14,829 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1029.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:15,062 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_103.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:15,285 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1030.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:15,507 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1031.jpg
 [image_cleaning.py:162:image_cleaning()]- 2021-05-04 13:48:15,729 - INFO - d:\Data_Science\my_projects\audio_books\bulk_load/processed_images\HarryPotter_page_1032.jpg
